command, x, y, z, v, g, r
move a lot forward and up,0.0,20.0,10.0,10.0,0.0,1.0
move a lot forward and a little up,0.0,20.0,5.0,10.0,0.0,0.0
move a lot forward and a lot up,0.0,20.0,20.0,10.0,0.0,1.0
move a lot forward and a tiny bit up,0.0,20.0,1.0,10.0,0.0,0.0
move a tiny bit forward and up,0.0,1.0,10.0,10.0,0.0,1.0
move a tiny bit forward and a little up,0.0,1.0,5.0,10.0,0.0,0.0
move a tiny bit forward and a lot up,0.0,1.0,20.0,10.0,0.0,1.0
move a tiny bit forward and a tiny bit up,0.0,1.0,1.0,10.0,0.0,0.0
move forward and down,0.0,10.0,-10.0,10.0,0.0,1.0
move forward and a little down,0.0,10.0,-5.0,10.0,0.0,0.0
move forward and a lot down,0.0,10.0,-20.0,10.0,0.0,1.0
move forward and a tiny bit down,0.0,10.0,-1.0,10.0,0.0,0.0
move a little forward and down,0.0,5.0,-10.0,10.0,0.0,1.0
move a little forward and a little down,0.0,5.0,-5.0,10.0,0.0,0.0
move a little forward and a lot down,0.0,5.0,-20.0,10.0,0.0,1.0
move a little forward and a tiny bit down,0.0,5.0,-1.0,10.0,0.0,0.0
move a lot forward and down,0.0,20.0,-10.0,10.0,0.0,1.0
move a lot forward and a little down,0.0,20.0,-5.0,10.0,0.0,0.0
move a lot forward and a lot down,0.0,20.0,-20.0,10.0,0.0,1.0
move a lot forward and a tiny bit down,0.0,20.0,-1.0,10.0,0.0,0.0
move a tiny bit forward and down,0.0,1.0,-10.0,10.0,0.0,1.0
move a tiny bit forward and a little down,0.0,1.0,-5.0,10.0,0.0,0.0
move a tiny bit forward and a lot down,0.0,1.0,-20.0,10.0,0.0,1.0
move a tiny bit forward and a tiny bit down,0.0,1.0,-1.0,10.0,0.0,0.0
move backward and left,-10.0,-10.0,0.0,10.0,0.0,1.0
move backward and a little left,-5.0,-10.0,0.0,10.0,0.0,0.0
move backward and a lot left,-20.0,-10.0,0.0,10.0,0.0,1.0
move backward and a tiny bit left,-1.0,-10.0,0.0,10.0,0.0,0.0
move a little backward and left,-10.0,-5.0,0.0,10.0,0.0,1.0
move a little backward and a little left,-5.0,-5.0,0.0,10.0,0.0,0.0
move a little backward and a lot left,-20.0,-5.0,0.0,10.0,0.0,1.0
move a little backward and a tiny bit left,-1.0,-5.0,0.0,10.0,0.0,0.0
move a lot backward and left,-10.0,-20.0,0.0,10.0,0.0,1.0
move a lot backward and a little left,-5.0,-20.0,0.0,10.0,0.0,0.0
move a lot backward and a lot left,-20.0,-20.0,0.0,10.0,0.0,1.0
move a lot backward and a tiny bit left,-1.0,-20.0,0.0,10.0,0.0,0.0
move a tiny bit backward and left,-10.0,-1.0,0.0,10.0,0.0,1.0
move a tiny bit backward and a little left,-5.0,-1.0,0.0,10.0,0.0,0.0
move a tiny bit backward and a lot left,-20.0,-1.0,0.0,10.0,0.0,1.0
move a tiny bit backward and a tiny bit left,-1.0,-1.0,0.0,10.0,0.0,0.0
move backward and right,10.0,-10.0,0.0,10.0,0.0,1.0
move backward and a little right,5.0,-10.0,0.0,10.0,0.0,0.0
move backward and a lot right,20.0,-10.0,0.0,10.0,0.0,1.0
move backward and a tiny bit right,1.0,-10.0,0.0,10.0,0.0,0.0
move a little backward and right,10.0,-5.0,0.0,10.0,0.0,1.0
move a little backward and a little right,5.0,-5.0,0.0,10.0,0.0,0.0
move a little backward and a lot right,20.0,-5.0,0.0,10.0,0.0,1.0
move a little backward and a tiny bit right,1.0,-5.0,0.0,10.0,0.0,0.0
move a lot backward and right,10.0,-20.0,0.0,10.0,0.0,1.0
move a lot backward and a little right,5.0,-20.0,0.0,10.0,0.0,0.0
move a lot backward and a lot right,20.0,-20.0,0.0,10.0,0.0,1.0
move a lot backward and a tiny bit right,1.0,-20.0,0.0,10.0,0.0,0.0
move a tiny bit backward and right,10.0,-1.0,0.0,10.0,0.0,1.0
move a tiny bit backward and a little right,5.0,-1.0,0.0,10.0,0.0,0.0
move a tiny bit backward and a lot right,20.0,-1.0,0.0,10.0,0.0,1.0
move a tiny bit backward and a tiny bit right,1.0,-1.0,0.0,10.0,0.0,0.0
move backward and up,0.0,-10.0,10.0,10.0,0.0,1.0
move backward and a little up,0.0,-10.0,5.0,10.0,0.0,0.0
move backward and a lot up,0.0,-10.0,20.0,10.0,0.0,1.0
move backward and a tiny bit up,0.0,-10.0,1.0,10.0,0.0,0.0
move a little backward and up,0.0,-5.0,10.0,10.0,0.0,1.0
move a little backward and a little up,0.0,-5.0,5.0,10.0,0.0,0.0
move a little backward and a lot up,0.0,-5.0,20.0,10.0,0.0,1.0
move a little backward and a tiny bit up,0.0,-5.0,1.0,10.0,0.0,0.0
move a lot backward and up,0.0,-20.0,10.0,10.0,0.0,1.0
move a lot backward and a little up,0.0,-20.0,5.0,10.0,0.0,0.0
move a lot backward and a lot up,0.0,-20.0,20.0,10.0,0.0,1.0
move a lot backward and a tiny bit up,0.0,-20.0,1.0,10.0,0.0,0.0
move a tiny bit backward and up,0.0,-1.0,10.0,10.0,0.0,1.0
move a tiny bit backward and a little up,0.0,-1.0,5.0,10.0,0.0,0.0
move a tiny bit backward and a lot up,0.0,-1.0,20.0,10.0,0.0,1.0
move a tiny bit backward and a tiny bit up,0.0,-1.0,1.0,10.0,0.0,0.0
move backward and down,0.0,-10.0,-10.0,10.0,0.0,1.0
move backward and a little down,0.0,-10.0,-5.0,10.0,0.0,0.0
move backward and a lot down,0.0,-10.0,-20.0,10.0,0.0,1.0
move backward and a tiny bit down,0.0,-10.0,-1.0,10.0,0.0,0.0
move a little backward and down,0.0,-5.0,-10.0,10.0,0.0,1.0
move a little backward and a little down,0.0,-5.0,-5.0,10.0,0.0,0.0
move a little backward and a lot down,0.0,-5.0,-20.0,10.0,0.0,1.0
move a little backward and a tiny bit down,0.0,-5.0,-1.0,10.0,0.0,0.0
move a lot backward and down,0.0,-20.0,-10.0,10.0,0.0,1.0
move a lot backward and a little down,0.0,-20.0,-5.0,10.0,0.0,0.0
move a lot backward and a lot down,0.0,-20.0,-20.0,10.0,0.0,1.0
move a lot backward and a tiny bit down,0.0,-20.0,-1.0,10.0,0.0,0.0
move a tiny bit backward and down,0.0,-1.0,-10.0,10.0,0.0,1.0
move a tiny bit backward and a little down,0.0,-1.0,-5.0,10.0,0.0,0.0
move a tiny bit backward and a lot down,0.0,-1.0,-20.0,10.0,0.0,1.0
move a tiny bit backward and a tiny bit down,0.0,-1.0,-1.0,10.0,0.0,0.0
move up and left,-10.0,0.0,10.0,10.0,0.0,1.0
move up and a little left,-5.0,0.0,10.0,10.0,0.0,0.0
move up and a lot left,-20.0,0.0,10.0,10.0,0.0,1.0
move up and a tiny bit left,-1.0,0.0,10.0,10.0,0.0,0.0
move a little up and left,-10.0,0.0,5.0,10.0,0.0,1.0
move a little up and a little left,-5.0,0.0,5.0,10.0,0.0,0.0
move a little up and a lot left,-20.0,0.0,5.0,10.0,0.0,1.0
move a little up and a tiny bit left,-1.0,0.0,5.0,10.0,0.0,0.0
move a lot up and left,-10.0,0.0,20.0,10.0,0.0,1.0
move a lot up and a little left,-5.0,0.0,20.0,10.0,0.0,0.0
move a lot up and a lot left,-20.0,0.0,20.0,10.0,0.0,1.0
move a lot up and a tiny bit left,-1.0,0.0,20.0,10.0,0.0,0.0
move a tiny bit up and left,-10.0,0.0,1.0,10.0,0.0,1.0
move a tiny bit up and a little left,-5.0,0.0,1.0,10.0,0.0,0.0
move a tiny bit up and a lot left,-20.0,0.0,1.0,10.0,0.0,1.0
move a tiny bit up and a tiny bit left,-1.0,0.0,1.0,10.0,0.0,0.0
move up and right,10.0,0.0,10.0,10.0,0.0,1.0
move up and a little right,5.0,0.0,10.0,10.0,0.0,0.0
move up and a lot right,20.0,0.0,10.0,10.0,0.0,1.0
move up and a tiny bit right,1.0,0.0,10.0,10.0,0.0,0.0
move a little up and right,10.0,0.0,5.0,10.0,0.0,1.0
move a little up and a little right,5.0,0.0,5.0,10.0,0.0,0.0
move a little up and a lot right,20.0,0.0,5.0,10.0,0.0,1.0
move a little up and a tiny bit right,1.0,0.0,5.0,10.0,0.0,0.0
move a lot up and right,10.0,0.0,20.0,10.0,0.0,1.0
move a lot up and a little right,5.0,0.0,20.0,10.0,0.0,0.0
move a lot up and a lot right,20.0,0.0,20.0,10.0,0.0,1.0
move a lot up and a tiny bit right,1.0,0.0,20.0,10.0,0.0,0.0
move a tiny bit up and right,10.0,0.0,1.0,10.0,0.0,1.0
move a tiny bit up and a little right,5.0,0.0,1.0,10.0,0.0,0.0
move a tiny bit up and a lot right,20.0,0.0,1.0,10.0,0.0,1.0
move a tiny bit up and a tiny bit right,1.0,0.0,1.0,10.0,0.0,0.0
move up and forward,0.0,10.0,10.0,10.0,0.0,1.0
move up and a little forward,0.0,5.0,10.0,10.0,0.0,0.0
move up and a lot forward,0.0,20.0,10.0,10.0,0.0,1.0
move up and a tiny bit forward,0.0,1.0,10.0,10.0,0.0,0.0
move a little up and forward,0.0,10.0,5.0,10.0,0.0,1.0
move a little up and a little forward,0.0,5.0,5.0,10.0,0.0,0.0
move a little up and a lot forward,0.0,20.0,5.0,10.0,0.0,1.0
move a little up and a tiny bit forward,0.0,1.0,5.0,10.0,0.0,0.0
move a lot up and forward,0.0,10.0,20.0,10.0,0.0,1.0
move a lot up and a little forward,0.0,5.0,20.0,10.0,0.0,0.0
move a lot up and a lot forward,0.0,20.0,20.0,10.0,0.0,1.0
move a lot up and a tiny bit forward,0.0,1.0,20.0,10.0,0.0,0.0
move a tiny bit up and forward,0.0,10.0,1.0,10.0,0.0,1.0
move a tiny bit up and a little forward,0.0,5.0,1.0,10.0,0.0,0.0
move a tiny bit up and a lot forward,0.0,20.0,1.0,10.0,0.0,1.0
move a tiny bit up and a tiny bit forward,0.0,1.0,1.0,10.0,0.0,0.0
move up and backward,0.0,-10.0,10.0,10.0,0.0,1.0
move up and a little backward,0.0,-5.0,10.0,10.0,0.0,0.0
move up and a lot backward,0.0,-20.0,10.0,10.0,0.0,1.0
move up and a tiny bit backward,0.0,-1.0,10.0,10.0,0.0,0.0
move a little up and backward,0.0,-10.0,5.0,10.0,0.0,1.0
move a little up and a little backward,0.0,-5.0,5.0,10.0,0.0,0.0
move a little up and a lot backward,0.0,-20.0,5.0,10.0,0.0,1.0
move a little up and a tiny bit backward,0.0,-1.0,5.0,10.0,0.0,0.0
move a lot up and backward,0.0,-10.0,20.0,10.0,0.0,1.0
move a lot up and a little backward,0.0,-5.0,20.0,10.0,0.0,0.0
move a lot up and a lot backward,0.0,-20.0,20.0,10.0,0.0,1.0
move a lot up and a tiny bit backward,0.0,-1.0,20.0,10.0,0.0,0.0
move a tiny bit up and backward,0.0,-10.0,1.0,10.0,0.0,1.0
move a tiny bit up and a little backward,0.0,-5.0,1.0,10.0,0.0,0.0
move a tiny bit up and a lot backward,0.0,-20.0,1.0,10.0,0.0,1.0
move a tiny bit up and a tiny bit backward,0.0,-1.0,1.0,10.0,0.0,0.0
move down and left,-10.0,0.0,-10.0,10.0,0.0,1.0
move down and a little left,-5.0,0.0,-10.0,10.0,0.0,0.0
move down and a lot left,-20.0,0.0,-10.0,10.0,0.0,1.0
move down and a tiny bit left,-1.0,0.0,-10.0,10.0,0.0,0.0
move a little down and left,-10.0,0.0,-5.0,10.0,0.0,1.0
move a little down and a little left,-5.0,0.0,-5.0,10.0,0.0,0.0
move a little down and a lot left,-20.0,0.0,-5.0,10.0,0.0,1.0
move a little down and a tiny bit left,-1.0,0.0,-5.0,10.0,0.0,0.0
move a lot down and left,-10.0,0.0,-20.0,10.0,0.0,1.0
move a lot down and a little left,-5.0,0.0,-20.0,10.0,0.0,0.0
move a lot down and a lot left,-20.0,0.0,-20.0,10.0,0.0,1.0
move a lot down and a tiny bit left,-1.0,0.0,-20.0,10.0,0.0,0.0
move a tiny bit down and left,-10.0,0.0,-1.0,10.0,0.0,1.0
move a tiny bit down and a little left,-5.0,0.0,-1.0,10.0,0.0,0.0
move a tiny bit down and a lot left,-20.0,0.0,-1.0,10.0,0.0,1.0
move a tiny bit down and a tiny bit left,-1.0,0.0,-1.0,10.0,0.0,0.0
move down and right,10.0,0.0,-10.0,10.0,0.0,1.0
move down and a little right,5.0,0.0,-10.0,10.0,0.0,0.0
move down and a lot right,20.0,0.0,-10.0,10.0,0.0,1.0
move down and a tiny bit right,1.0,0.0,-10.0,10.0,0.0,0.0
move a little down and right,10.0,0.0,-5.0,10.0,0.0,1.0
move a little down and a little right,5.0,0.0,-5.0,10.0,0.0,0.0
move a little down and a lot right,20.0,0.0,-5.0,10.0,0.0,1.0
move a little down and a tiny bit right,1.0,0.0,-5.0,10.0,0.0,0.0
move a lot down and right,10.0,0.0,-20.0,10.0,0.0,1.0
move a lot down and a little right,5.0,0.0,-20.0,10.0,0.0,0.0
move a lot down and a lot right,20.0,0.0,-20.0,10.0,0.0,1.0
move a lot down and a tiny bit right,1.0,0.0,-20.0,10.0,0.0,0.0
move a tiny bit down and right,10.0,0.0,-1.0,10.0,0.0,1.0
move a tiny bit down and a little right,5.0,0.0,-1.0,10.0,0.0,0.0
move a tiny bit down and a lot right,20.0,0.0,-1.0,10.0,0.0,1.0
move a tiny bit down and a tiny bit right,1.0,0.0,-1.0,10.0,0.0,0.0
move down and forward,0.0,10.0,-10.0,10.0,0.0,1.0
move down and a little forward,0.0,5.0,-10.0,10.0,0.0,0.0
move down and a lot forward,0.0,20.0,-10.0,10.0,0.0,1.0
move down and a tiny bit forward,0.0,1.0,-10.0,10.0,0.0,0.0
move a little down and forward,0.0,10.0,-5.0,10.0,0.0,1.0
move a little down and a little forward,0.0,5.0,-5.0,10.0,0.0,0.0
move a little down and a lot forward,0.0,20.0,-5.0,10.0,0.0,1.0
move a little down and a tiny bit forward,0.0,1.0,-5.0,10.0,0.0,0.0
move a lot down and forward,0.0,10.0,-20.0,10.0,0.0,1.0
move a lot down and a little forward,0.0,5.0,-20.0,10.0,0.0,0.0
move a lot down and a lot forward,0.0,20.0,-20.0,10.0,0.0,1.0
move a lot down and a tiny bit forward,0.0,1.0,-20.0,10.0,0.0,0.0
move a tiny bit down and forward,0.0,10.0,-1.0,10.0,0.0,1.0
move a tiny bit down and a little forward,0.0,5.0,-1.0,10.0,0.0,0.0
move a tiny bit down and a lot forward,0.0,20.0,-1.0,10.0,0.0,1.0
move a tiny bit down and a tiny bit forward,0.0,1.0,-1.0,10.0,0.0,0.0
move down and backward,0.0,-10.0,-10.0,10.0,0.0,1.0
move down and a little backward,0.0,-5.0,-10.0,10.0,0.0,0.0
move down and a lot backward,0.0,-20.0,-10.0,10.0,0.0,1.0
move down and a tiny bit backward,0.0,-1.0,-10.0,10.0,0.0,0.0
move a little down and backward,0.0,-10.0,-5.0,10.0,0.0,1.0
move a little down and a little backward,0.0,-5.0,-5.0,10.0,0.0,0.0
move a little down and a lot backward,0.0,-20.0,-5.0,10.0,0.0,1.0
move a little down and a tiny bit backward,0.0,-1.0,-5.0,10.0,0.0,0.0
move a lot down and backward,0.0,-10.0,-20.0,10.0,0.0,1.0
move a lot down and a little backward,0.0,-5.0,-20.0,10.0,0.0,0.0
move a lot down and a lot backward,0.0,-20.0,-20.0,10.0,0.0,1.0
move a lot down and a tiny bit backward,0.0,-1.0,-20.0,10.0,0.0,0.0
move a tiny bit down and backward,0.0,-10.0,-1.0,10.0,0.0,1.0
move a tiny bit down and a little backward,0.0,-5.0,-1.0,10.0,0.0,0.0
move a tiny bit down and a lot backward,0.0,-20.0,-1.0,10.0,0.0,1.0
move a tiny bit down and a tiny bit backward,0.0,-1.0,-1.0,10.0,0.0,0.0
rotate clockwise,0.0,0.0,0.0,0.0,90.0,1.0
rotate a little clockwise,0.0,0.0,0.0,0.0,45.0,0.0
rotate a lot clockwise,0.0,0.0,0.0,0.0,180.0,1.0
rotate a tiny bit clockwise,0.0,0.0,0.0,0.0,9.0,0.0
rotate counterclockwise,-0.0,-0.0,-0.0,-0.0,-90.0,1.0
rotate a little counterclockwise,-0.0,-0.0,-0.0,-0.0,-45.0,-0.0
rotate a lot counterclockwise,-0.0,-0.0,-0.0,-0.0,-180.0,1.0
rotate a tiny bit counterclockwise,-0.0,-0.0,-0.0,-0.0,-9.0,-0.0
stop,0.0,0.0,0.0,0.0,0.0,0.0
open the gripper,0.0,0.0,0.0,0.0,0.0,1.0
close the gripper,0.0,0.0,0.0,0.0,0.0,0.0
